State,"Homeless people per 10,000"
"Washington, DC",72.4919437
New York,52.73049973
Vermont,50.89086034
Oregon,47.57925033
California,46.55411305
Hawaii,43.36168368
Washington,35.88433459
Alaska,35.64192275
Maine,30.50750794
Massachusetts,27.33882186
Nevada,27.13062774
Colorado,24.56610765
Montana,19.22649124
Arizona,19.15804194
New Mexico,18.17088865
New Hampshire,17.41017108
Rhode Island,16.51517115
Minnesota,14.62726443
South Dakota,13.94512019
Florida,13.60239384
Tennessee,12.93063106
Nebraska,12.44453161
Delaware,12.06523951
Idaho,11.69628742
Oklahoma,11.46571731
Georgia,11.14674673
New Jersey,11.04743909
Missouri,10.826067
Utah,10.78784949
Kentucky,10.52991127
North Dakota,10.00094397
Pennsylvania,9.687013639
Ohio,9.660667567
Illinois,9.51975782
Maryland,9.48990276
Wyoming,9.108700007
North Carolina,9.001899406
Texas,8.975094204
Kansas,8.964321592
Michigan,8.963600727
Indiana,8.768326305
Arkansas,8.504654253
Connecticut,8.335231684
Iowa,8.272518525
Wisconsin,8.223713427
West Virginia,7.999679109
Virginia,7.757267404
South Carolina,7.542492819
Louisiana,6.92867055
Alabama,6.467692467
Mississippi,3.340488283
